"","system.index","SiteID","blue","blue_sd","date_unity","green","green_sd","nir","nir_sd","path","pixelCount","qa","qa_sd","red","red_sd","row","sat","swir1","swir1_sd","swir2","swir2_sd",".geo","endtime","date","date_only","chl_a","doc","p_sand","secchi","tis","tss","source","lat","long","TZID","date_utc","clouds","time","landsat_id","timediff","pwater","type","id"
"1216",159,"21COL001_WQX-9277A1",178,71.9774853686901,"2014-07-09T17:52:00Z",244,83.5171838605685,103,82.6163761006254,35,25,324,0,138,82.9815979600297,34,8,89,84.610221604721,81,66.5430507265785,"{""type"":""Point"",""coordinates"":[-107.222,37.504999999999995]}","17:52:00","2014-07-09",FALSE,NA,NA,NA,3.3,NA,NA,"WQP",37.505,-107.222,"UTC","2014-07-09T17:52:00Z",8.98,"2014-07-09T17:50:18Z","LC08_L1TP_035034_20140709_20170304_01_T1",0.0282354044251972,96,"Lake","New"
"1217",160,"UC_REGION_USBOR_WQX-McPDR-GC",555,53.2000460334308,"2014-07-08T00:40:00Z",919,62.2365467800237,196,177.92775419896,35,7,324,0,754,95.6406966575571,34,8,210,229.59965156768,212,181.439032319343,"{""type"":""Point"",""coordinates"":[-108.587,37.5097]}","00:40:00","2014-07-09",FALSE,NA,NA,NA,0.75,NA,NA,"WQP",37.5097,-108.587,"UTC","2014-07-08T00:40:00Z",8.98,"2014-07-09T17:50:18Z","LC08_L1TP_035034_20140709_20170304_01_T1",-41.1717645955748,46,"Lake","New"
"1218",161,"UC_REGION_USBOR_WQX-McPDR-GC",693,100.242562958912,"2012-10-16T00:20:00Z",1025,116.626912566071,802,222.207018754299,35,7,68,0.699854212223871,1017,161.038973607038,34,7,687,347.720272280898,648,292.994741194014,"{""type"":""Point"",""coordinates"":[-108.587,37.5097]}","00:20:00","2012-10-15",FALSE,NA,NA,NA,0.57,NA,NA,"WQP",37.5097,-108.587,"UTC","2012-10-16T00:20:00Z",1,"2012-10-15T17:46:11Z","LE07_L1TP_035034_20121015_20160909_01_T1",6.56344640778171,46,"Lake","New"
"1219",163,"UC_REGION_USBOR_WQX-McPDR098",264,23.0219444093158,"2012-10-15T23:10:00Z",306,22.2305991352507,110,23.7787323850879,35,138,68,0,169,26.3132984731778,34,7,55,20.0332073089924,28,28.6803694115334,"{""type"":""Point"",""coordinates"":[-108.54436799999999,37.515785]}","23:10:00","2012-10-15",FALSE,NA,NA,NA,2.95,NA,NA,"WQP",37.515785,-108.544368,"UTC","2012-10-15T23:10:00Z",1,"2012-10-15T17:46:11Z","LE07_L1TP_035034_20121015_20160909_01_T1",5.39677974111504,97,"Lake","New"
"1220",166,"UC_REGION_USBOR_WQX-McPDR037",545,20.9130039123717,"2010-05-19T22:00:00Z",635,23.9445159431131,262,24.614032297401,35,96,68,0,484,25.5463138105196,34,7,163,24.9399778600488,126,30.0748776205139,"{""type"":""Point"",""coordinates"":[-108.54753699999999,37.559515]}","22:00:00","2010-05-19",FALSE,NA,NA,NA,1.42,NA,NA,"WQP",37.559515,-108.547537,"UTC","2010-05-19T22:00:00Z",42,"2010-05-19T17:42:33Z","LE07_L1TP_035034_20100519_20160916_01_T1",4.29074076082971,96,"Lake","New"
"1221",167,"UC_REGION_USBOR_WQX-McPDR037",222,23.4307860053656,"2012-10-15T22:40:00Z",234,20.0861513526227,110,26.5376931898831,35,138,68,0,125,23.9421265833011,34,7,55,22.7410793449004,28,29.3379630948525,"{""type"":""Point"",""coordinates"":[-108.54753699999999,37.559515]}","22:40:00","2012-10-15",FALSE,NA,NA,NA,5.08,NA,NA,"WQP",37.559515,-108.547537,"UTC","2012-10-15T22:40:00Z",1,"2012-10-15T17:46:11Z","LE07_L1TP_035034_20121015_20160909_01_T1",4.89677974111504,96,"Lake","New"
"1222",170,"UC_REGION_USBOR_WQX-McPDR000",247,37.5154106423653,"2012-10-15T21:20:00Z",260,47.290832510183,111,58.0176437143681,35,54,68,0,149,52.2279219374462,34,7,83,72.009620604011,58,62.84661636022,"{""type"":""Point"",""coordinates"":[-108.57,37.5767]}","21:20:00","2012-10-15",FALSE,NA,NA,NA,3.96,NA,NA,"WQP",37.5767,-108.57,"UTC","2012-10-15T21:20:00Z",1,"2012-10-15T17:46:11Z","LE07_L1TP_035034_20121015_20160909_01_T1",3.56344640778171,95,"Lake","New"
"1223",172,"21COL001-10700A1",218,18.622389769131,"2004-09-22T16:00:00Z",279,19.0511000053798,95,21.9295163213416,35,58,68,0,161,18.8393373079347,34,7,49,31.5840610624817,25,29.119582061785,"{""type"":""Point"",""coordinates"":[-108.56692,37.57828]}","16:00:00","2004-09-23",FALSE,NA,NA,NA,4.25,NA,NA,"WQP",37.57828,-108.56692,"UTC","2004-09-22T16:00:00Z",1,"2004-09-23T17:39:03Z","LE07_L1TP_035034_20040923_20160927_01_T1",-25.6510661116574,97,"Lake","New"
"1224",174,"UC_REGION_USBOR_WQX-McPDR004",226,23.5329984498195,"2012-10-15T22:30:00Z",261,18.8867254522053,111,26.0148707837175,35,134,68,0,149,22.1042067666598,34,7,55,30.2839094308607,58,35.5973630259271,"{""type"":""Point"",""coordinates"":[-108.567,37.5783]}","22:30:00","2012-10-15",FALSE,NA,NA,NA,3.96,NA,NA,"WQP",37.5783,-108.567,"UTC","2012-10-15T22:30:00Z",1,"2012-10-15T17:46:11Z","LE07_L1TP_035034_20121015_20160909_01_T1",4.73011307444837,97,"Lake","New"
"1225",263,"USGS-374248107323600",252,18.8430683406338,"1989-09-06T15:20:00Z",266,45.637044118987,152,30.125587469926,35,14,68,0,194,33.3313604858357,34,5,153,45.3733379411122,101,41.6065144035922,"{""type"":""Point"",""coordinates"":[-107.543948,37.7133319]}","15:20:00","1989-09-06",FALSE,NA,NA,NA,4.7244,NA,NA,"WQP",37.7133319,-107.543948,"UTC","1989-09-06T15:20:00Z",6,"1989-09-06T17:16:40Z","LT05_L1TP_035034_19890906_20161001_01_T1",-1.94446111278401,92,"Lake","New"
